127.0.0.1 - - [20/Dec/2024:12:24:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:24:52 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:24:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:24:53 +0900] "GET /FoodTrip/member/login HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:24:57 +0900] "GET /FoodTrip/member/email HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:24:57 +0900] "GET /FoodTrip/resources/css/bootstrap.min.css HTTP/1.1" 200 160398
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:24:59 +0900] "POST /FoodTrip/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:24:59 +0900] "GET /FoodTrip/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:25:01 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:25:01 +0900] "GET /FoodTrip/resources/js/board.js?version=46 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:25:04 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:26:18 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:26:19 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:26:32 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:26:39 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:27:50 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:29:45 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 3999
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:29:48 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 3999
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:29:51 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:29:52 +0900] "GET /FoodTrip/member/login HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:29:57 +0900] "POST /FoodTrip/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:29:57 +0900] "GET /FoodTrip/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:29:59 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:35 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:36 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:36 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:37 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:37 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:40 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 3999
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:41 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 3999
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:41 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 3999
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:42 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 3999
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:44 +0900] "GET /FoodTrip/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:44 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:45 +0900] "GET /FoodTrip/member/login HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:48 +0900] "POST /FoodTrip/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:48 +0900] "GET /FoodTrip/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:30:50 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:09 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:09 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:10 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:13 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:14 +0900] "GET /FoodTrip/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:14 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:16 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:19 +0900] "GET /FoodTrip/member/login HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:21 +0900] "POST /FoodTrip/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:21 +0900] "GET /FoodTrip/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:23 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:44 +0900] "GET /FoodTrip/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:44 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:45 +0900] "GET /FoodTrip/member/email HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:47 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 3999
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:49 +0900] "GET /FoodTrip/member/login HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:51 +0900] "POST /FoodTrip/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:51 +0900] "GET /FoodTrip/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:32:53 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:33:42 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:33:43 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:33:44 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:33:54 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:33:54 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:33:55 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:34:23 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:34:25 +0900] "GET /FoodTrip/board/BoardView?num=30&pageNum=1 HTTP/1.1" 200 19387
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:36:56 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:37:15 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:37:34 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 3948
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:38:05 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:38:07 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:38:15 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:38:16 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:38:21 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:39:27 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:39:48 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:39:48 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:39:52 +0900] "POST /FoodTrip/board/cancelLike HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:39:52 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:39:54 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:41:11 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:41:11 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:41:41 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:41:43 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:41:44 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:41:54 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:41:56 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:41:57 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:41:58 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:42:00 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:42:01 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:42:54 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:42:59 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:43:13 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:43:14 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:44:19 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:46:56 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:46:56 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:46:57 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:46:57 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:46:58 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:46:58 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:47:08 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:47:09 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:47:13 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:00 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:01 +0900] "GET /FoodTrip/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:01 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:02 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:02 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:02 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:03 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
